X,Y,TIME
470,334,0.0018482208251953125
470,334,0.0039014816284179688
470,334,0.005479097366333008
470,334,0.007487297058105469
470,334,0.009026288986206055
470,334,0.01094365119934082
470,334,0.012945413589477539
470,334,0.014948129653930664
470,334,0.01648736000061035
470,334,0.018497705459594727
470,334,0.02049732208251953
470,334,0.02201390266418457
470,334,0.024024248123168945
470,334,0.025530338287353516
470,334,0.027541399002075195
470,334,0.02912139892578125
473,338,0.0312345027923584
473,338,0.0323944091796875
473,338,0.03395843505859375
473,338,0.03554248809814453
473,338,0.03712320327758789
478,343,0.03864336013793945
478,343,0.04065585136413574
478,343,0.04226827621459961
478,343,0.04382157325744629
478,343,0.045131683349609375
483,348,0.04713892936706543
483,348,0.04828214645385742
483,348,0.04989123344421387
483,348,0.05218243598937988
489,353,0.053566694259643555
489,353,0.05543160438537598
489,353,0.05672621726989746
489,353,0.05802774429321289
489,353,0.05973172187805176
497,358,0.06177997589111328
497,358,0.06332921981811523
497,358,0.06492066383361816
497,358,0.0669240951538086
504,365,0.06891894340515137
504,365,0.07050848007202148
504,365,0.07251214981079102
504,365,0.07359933853149414
513,370,0.07560086250305176
513,370,0.07681393623352051
513,370,0.07833075523376465
513,370,0.07991981506347656
513,370,0.08177804946899414
523,376,0.08338141441345215
523,376,0.08493709564208984
523,376,0.08703041076660156
523,376,0.08874011039733887
532,381,0.09032797813415527
532,381,0.09187102317810059
532,381,0.09311985969543457
532,381,0.09454035758972168
532,381,0.09616994857788086
541,385,0.09818196296691895
541,385,0.09958481788635254
541,385,0.10084676742553711
541,385,0.10200166702270508
541,385,0.10355567932128906
552,391,0.10556244850158691
552,391,0.10718536376953125
552,391,0.10919332504272461
552,391,0.11034607887268066
563,395,0.11185550689697266
563,395,0.11302495002746582
563,395,0.11461925506591797
563,395,0.11639809608459473
563,395,0.11840605735778809
574,400,0.1199951171875
574,400,0.12197470664978027
574,400,0.12398624420166016
574,400,0.12513494491577148
585,404,0.12668180465698242
585,404,0.1279592514038086
585,404,0.12997198104858398
585,404,0.13197016716003418
593,406,0.1340177059173584
593,406,0.13548493385314941
593,406,0.1372051239013672
593,406,0.1387927532196045
593,406,0.14033031463623047
602,409,0.14245128631591797
602,409,0.14445877075195312
602,409,0.14562273025512695
602,409,0.14767718315124512
610,411,0.1496894359588623
610,411,0.15106868743896484
610,411,0.15261507034301758
610,411,0.15416240692138672
610,411,0.1554102897644043
618,412,0.15684151649475098
618,412,0.15885090827941895
618,412,0.1603691577911377
618,412,0.16237950325012207
629,415,0.1636204719543457
629,415,0.16516518592834473
629,415,0.16713666915893555
629,415,0.16868853569030762
629,415,0.17011141777038574
640,415,0.17166948318481445
640,415,0.17315983772277832
640,415,0.17467999458312988
640,415,0.17622876167297363
650,415,0.17778301239013672
650,415,0.17945289611816406
650,415,0.18146467208862305
650,415,0.18302536010742188
650,415,0.18458199501037598
661,415,0.18659067153930664
661,415,0.18813061714172363
661,415,0.18924212455749512
661,415,0.19078302383422852
672,413,0.19279241561889648
672,413,0.19434118270874023
672,413,0.19634771347045898
672,413,0.19780445098876953
672,413,0.19907903671264648
683,411,0.20117425918579102
683,411,0.20271706581115723
683,411,0.20472979545593262
683,411,0.2058718204498291
692,409,0.20726227760314941
692,409,0.20880794525146484
692,409,0.2108154296875
692,409,0.2120370864868164
692,409,0.21358060836791992
701,406,0.21558880805969238
701,406,0.21709394454956055
701,406,0.21920084953308105
701,406,0.22088193893432617
708,403,0.22289180755615234
708,403,0.22444391250610352
708,403,0.22603797912597656
708,403,0.22755742073059082
716,401,0.22896456718444824
716,401,0.23097634315490723
716,401,0.23248672485351562
716,401,0.23455500602722168
722,397,0.2362985610961914
722,397,0.2381150722503662
722,397,0.2392430305480957
722,397,0.24051141738891602
722,397,0.24191045761108398
728,394,0.24396777153015137
728,394,0.24591946601867676
728,394,0.24747824668884277
728,394,0.24858999252319336
728,394,0.25060462951660156
734,390,0.25260019302368164
734,390,0.2541005611419678
734,390,0.25643229484558105
734,390,0.2576634883880615
742,384,0.2598392963409424
742,384,0.2618117332458496
742,384,0.2633700370788574
742,384,0.2653238773345947
752,377,0.26732850074768066
752,377,0.2688415050506592
752,377,0.2708420753479004
752,377,0.27197957038879395
764,367,0.27353572845458984
764,367,0.27507781982421875
764,367,0.27707600593566895
764,367,0.2782413959503174
776,356,0.2803456783294678
776,356,0.28191590309143066
776,356,0.2835245132446289
776,356,0.285536527633667
776,356,0.28670430183410645
786,346,0.28871893882751465
786,346,0.2898895740509033
786,346,0.2918970584869385
786,346,0.29349565505981445
797,336,0.29550981521606445
797,336,0.29701852798461914
797,336,0.2982006072998047
797,336,0.2997457981109619
797,336,0.30109333992004395
807,327,0.30249500274658203
807,327,0.3040642738342285
807,327,0.30559778213500977
807,327,0.30760741233825684
807,327,0.30919623374938965
815,318,0.31120944023132324
815,318,0.31265997886657715
815,318,0.3147294521331787
815,318,0.31629443168640137
826,308,0.3183023929595947
826,308,0.3198068141937256
826,308,0.32181692123413086
826,308,0.3229377269744873
836,298,0.3244509696960449
836,298,0.3256680965423584
836,298,0.32684803009033203
836,298,0.3283872604370117
836,298,0.32949018478393555
848,286,0.3314998149871826
848,286,0.33286237716674805
848,286,0.3344240188598633
848,286,0.33585429191589355
848,286,0.3378608226776123
862,269,0.3389720916748047
862,269,0.34009361267089844
862,269,0.3411686420440674
862,269,0.3427143096923828
862,269,0.34416723251342773
862,269,0.3458547592163086
871,259,0.3478701114654541
871,259,0.3493831157684326
871,259,0.35045576095581055
871,259,0.3519918918609619
871,259,0.35318946838378906
879,249,0.35474538803100586
879,249,0.3562910556793213
879,249,0.35829925537109375
879,249,0.35956382751464844
885,244,0.36073780059814453
885,244,0.36274051666259766
885,244,0.36426377296447754
885,244,0.36626291275024414
885,244,0.3678703308105469
890,237,0.3698291778564453
890,237,0.3709554672241211
890,237,0.37259602546691895
890,237,0.37384629249572754
890,237,0.37533020973205566
896,232,0.3768906593322754
896,232,0.3779757022857666
896,232,0.37952113151550293
896,232,0.38106393814086914
904,226,0.383073091506958
904,226,0.3846251964569092
904,226,0.38574862480163574
904,226,0.3874680995941162
904,226,0.3894803524017334
907,222,0.3916127681732178
907,222,0.3935129642486572
907,222,0.3947134017944336
907,222,0.39597487449645996
907,222,0.3975718021392822
907,222,0.3991422653198242
907,222,0.4006795883178711
907,222,0.4024944305419922
907,222,0.40404796600341797
907,222,0.40606141090393066
907,222,0.4075753688812256
907,222,0.409121036529541
907,222,0.4111301898956299
907,222,0.4131293296813965
907,222,0.41466426849365234
907,222,0.416229248046875
907,222,0.41823768615722656
