X,Y
394,264
394,262
394,262
394,262
394,262
392,260
392,260
392,260
392,260
390,257
390,257
390,257
390,257
390,257
389,256
389,256
389,256
389,256
389,256
386,252
386,252
386,252
386,252
386,252
381,247
381,247
381,247
381,247
381,247
379,245
379,245
379,245
379,245
375,240
375,240
375,240
375,240
375,240
373,238
373,238
373,238
373,238
373,238
369,234
369,234
369,234
369,234
361,227
361,227
361,227
361,227
361,227
353,221
353,221
353,221
353,221
338,212
338,212
338,212
338,212
338,212
328,207
328,207
328,207
328,207
328,207
318,201
318,201
318,201
318,201
308,197
308,197
308,197
308,197
308,197
298,195
298,195
298,195
298,195
292,194
292,194
292,194
292,194
292,194
284,192
284,192
284,192
284,192
277,191
277,191
277,191
277,191
277,191
271,191
271,191
271,191
271,191
271,191
269,191
269,191
269,191
269,191
267,191
267,191
267,191
267,191
267,191
266,191
266,191
266,191
266,191
266,191
264,191
264,191
264,191
264,191
264,191
262,191
262,191
262,191
262,191
258,191
258,191
258,191
258,191
258,191
252,191
252,191
252,191
252,191
245,194
245,194
245,194
245,194
245,194
240,195
240,195
240,195
240,195
240,195
236,197
236,197
236,197
236,197
236,197
232,200
232,200
232,200
232,200
228,203
228,203
228,203
228,203
228,203
222,206
222,206
222,206
222,206
217,209
217,209
217,209
217,209
217,209
211,215
211,215
211,215
211,215
211,215
203,222
203,222
203,222
203,222
196,228
196,228
196,228
196,228
196,228
190,241
190,241
190,241
190,241
188,253
188,253
188,253
188,253
188,253
187,266
187,266
187,266
187,266
183,282
183,282
183,282
183,282
183,282
183,294
183,294
183,294
183,294
183,303
183,303
183,303
183,303
183,311
183,311
183,311
183,311
183,311
185,314
185,314
185,314
185,314
185,316
185,316
185,316
185,316
188,319
188,319
188,319
188,319
188,319
190,320
190,320
190,320
190,320
190,320
192,321
192,321
192,321
192,321
192,321
196,322
196,322
196,322
196,322
196,322
203,322
203,322
203,322
203,322
210,322
210,322
210,322
210,322
210,322
210,322
210,322
210,322
210,322
210,322
216,322
216,322
216,322
216,322
219,321
219,321
219,321
219,321
219,321
222,317
222,317
222,317
222,317
224,316
224,316
224,316
224,316
224,316
226,313
226,313
226,313
226,313
226,313
228,311
228,311
228,311
228,311
228,311
232,307
232,307
232,307
232,307
232,307
237,303
237,303
237,303
237,303
242,299
242,299
242,299
242,299
242,299
245,294
245,294
245,294
245,294
245,294
250,290
250,290
250,290
250,290
259,284
259,284
259,284
259,284
259,284
267,280
267,280
267,280
267,280
276,277
276,277
276,277
276,277
276,277
285,273
285,273
285,273
285,273
285,273
292,271
292,271
292,271
292,271
292,271
298,271
298,271
298,271
298,271
298,271
304,269
304,269
304,269
304,269
309,269
309,269
309,269
309,269
315,268
315,268
315,268
315,268
315,268
320,268
320,268
320,268
320,268
329,268
329,268
329,268
329,268
329,268
336,268
336,268
336,268
336,268
344,268
344,268
344,268
344,268
344,268
350,268
350,268
350,268
350,268
350,268
362,271
362,271
362,271
362,271
375,275
375,275
375,275
375,275
375,275
389,279
389,279
389,279
389,279
389,279
401,281
401,281
401,281
401,281
411,285
