X,Y
629,306
630,303
630,303
630,303
630,303
630,303
632,300
632,300
632,300
632,300
634,297
634,297
634,297
634,297
634,297
637,295
637,295
637,295
638,293
638,293
638,293
638,293
638,293
641,289
641,289
641,289
641,289
643,287
643,287
643,287
643,287
646,284
646,284
646,284
646,284
646,284
646,284
646,284
646,284
653,279
653,279
653,279
653,279
656,278
656,278
656,278
656,278
658,276
658,276
658,276
658,276
661,275
661,275
661,275
663,273
663,273
663,273
663,273
666,272
666,272
666,272
666,272
669,272
669,272
669,272
669,272
674,271
674,271
674,271
674,271
674,271
677,270
677,270
677,270
677,270
677,270
680,270
680,270
680,270
680,270
683,270
683,270
683,270
683,270
685,270
685,270
685,270
685,270
687,270
687,270
687,270
687,270
687,270
690,271
690,271
690,271
690,271
692,272
692,272
692,272
692,272
694,273
694,273
694,273
694,273
696,274
696,274
696,274
696,274
698,275
698,275
698,275
699,276
699,276
699,276
699,276
700,277
700,277
700,277
700,277
700,277
702,278
702,278
702,278
702,278
703,280
703,280
703,280
703,280
705,282
705,282
705,282
705,282
706,285
706,285
706,285
706,285
708,288
708,288
708,288
708,288
708,288
710,294
710,294
710,294
710,294
712,297
712,297
712,297
713,302
713,302
713,302
713,302
713,302
714,305
714,305
714,305
714,305
715,308
715,308
715,308
715,308
716,311
716,311
716,311
716,311
716,314
716,314
716,314
716,314
716,320
716,320
716,320
716,320
717,325
717,325
717,325
717,325
718,331
718,331
718,331
718,331
718,331
718,335
718,335
718,335
718,335
719,339
719,339
719,339
719,339
720,343
720,343
720,343
720,343
721,346
721,346
721,346
721,346
721,347
721,347
721,347
